NAME,TYPE,MIRROR,X,Y,ANGLE,VALUE,PACKAGE,MANUFACTURER,PARTNUMBER,OC_FARNELL,OC_PAGE,TOL,TC,VOLT,RATE,COLOR,TYPE,SIZE,FREQ,OPT
3V0,SMD,1,53.34,15.24,  0,PTR1B1,27,B1,27,,,,,,,,,,,,,
A1,SMD,1,10.16, 7.62,  0,PTR1B1,27,B1,27,,,unknown,,,,,,,,,,
A2,SMD,1,15.24, 7.62,  0,PTR1B1,27,B1,27,,,unknown,,,,,,,,,,
ANTENNA,SMD,0,33.01,46.40,  0,ANTENNE_GROUND_U.FL.,ANTENNA,HIROSE(HRS),U.FL-R-SMT-1(10),1688077,KUFLRSMT1,,,,,,,,,
ARM_PROG,SMD,1,24.13,30.48,270,TC2030,TC2030-IDC,,,unknown,,,,,,,,,,DO_NOT_MOUNT
C1,SMD,0,24.13,14.61,  0,10uF,0805_RFLW,KEMET,C0805C106K4PACTU,1288204,CCPK106,,X5R,16V,,,CERAMIC,,,
D4,SMD,0,33.70,39.23,  0,ESD9R3.3ST5G,SOD-923,ON SEMICONDUCTOR,ESD9R3.3ST5G,2101835,,,,,,,,,,
FLT,SMD,0,20.57,16.76,  0,PTR1B1,27,B1,27,,,unknown,,,,,,,,,,
GND@0,SMD,1, 2.54, 7.62,  0,PTR1B2,54,B2,54,,,unknown,,,,,,,,,,
IC1,SMD,0,39.37,11.43, 90,EFM32G222F64,QFP48,Silicon Labs,EFM32G222F64-QFP48T,,,,,,,,,,,
LED,SMD,1, 5.08,22.86,  0,PTR1B1,27,B1,27,,,unknown,,,,,,,,,,
LG1,TH,1,50.99, 6.35,  0,LOGO,LOGO,,,unknown,,,,,,,,,,DO_NOT_MOUNT
Q1,SMD,0,47.37,12.16,  0,12MHz,OSC3.2X.2.5,ABRACON,ABM8G-12.000MHZ-18-D2Y-T,2308709,,,,,,,,,,DO_NOT_MOUNT
Q2,SMD,0,43.12, 4.29,180,32.768kHz,FC135,CITIZEN FINETECH MIYOTA,CM315 32.768KDZY-UT,2101357,XT32.768CM315,,,,,,,,,
R1,SMD,0,15.24,27.94,180,330,0603_RFLW,BOURNS,CR0603-JW-331ELF,1795164,,,,,,,,,,
R24,SMD,0,33.91,44.20,180,NC,0603_RFLW,,,,,,,,,,,,,
R29,SMD,0,50.80,17.27,270,0,0603_RFLW,VISHAY DRALORIC,CRCW06030000Z0EA,1469739,,,,,,,,,,
STAT,SMD,0,29.21, 3.81,  0,GREEN,CHIPLED_1206,KINGBRIGHT,KPT-3216CGCK,2099244,,,,,,,,,,
TD_PROG,SMD,1,62.23,30.48,270,TC2030,TC2030-IDC,,,unknown,,,,,,,,,,DO_NOT_MOUNT
X3,TH,0,53.24,46.72,  0,TAMPER_SWITCH_APEM_BARE,MDB103D,APEM,MDB103D01C06C,,,,,,,,,,,DO_NOT_MOUNT
